num-of-vars,Dec- 4 (best),dec_o – 12 (best),Match – 16 (best)
1,0.7451658177,0.7454043387,0.8320604852
2,0.7494576283,0.7495767463,0.8474577708
3,0.759845688,0.7615162612,0.8467417804
4,0.7645006946,0.7606807253,0.8475771738
5,0.7613970719,0.7621127062,0.8481737613
6,0.7628287679,0.7656937271,0.848651017
7,0.7619953692,0.7618733302,0.8497259288
8,0.7596084494,0.7666482385,0.8494868379
9,0.7590111495,0.7634260678,0.8511582659
10,0.7585338225,0.7680810743,0.8528292666
11,0.7600856339,0.768201261,0.8513971432
12,0.7610405015,0.7692749617,0.852590888
13,0.7605624622,0.7679623125,0.8523524383
14,0.7572210309,0.7682002636,0.852829979
15,0.7567433477,0.7670067324,0.853068785
16,0.7569826524,0.7661714103,0.8540236526
17,0.7585338938,0.7650967121,0.8539043209
18,0.7603244399,0.7673643002,0.8531880455
19,0.7603243686,0.7665293342,0.8517553521
20,0.7599667296,0.7650966409,0.8512780964
21,0.7602045382,0.7660521498,0.8513977131
22,0.7602043957,0.7653357318,0.8521135611
23,0.759488619,0.7645004096,0.8533073772
24,0.7592493855,0.7625902469,0.8523525095
25,0.7602046807,0.7636638763,0.8519944431
26,0.7586531543,0.7646191002,0.8522330353
27,0.7569822249,0.7652153315,0.8516360916
28,0.7576977879,0.7658122039,0.8515169736
29,0.7578173334,0.764499626,0.8517558508
30,0.7580562106,0.7625901756,0.8513975706
31,0.7574587682,0.7636643038,0.8512783101
32,0.7576972892,0.7633061661,0.8513979268
33,0.7573391515,0.7624707014,0.8521139173
34,0.7569812988,0.7633063798,0.852353222
35,0.7561456203,0.7639031097,0.8517563495
36,0.7565034018,0.7639029673,0.8519949418
37,0.7587719161,0.7639030385,0.851756207
38,0.7597263563,0.7658132013,0.8519950842
39,0.7621135611,0.7629482421,0.85247234
40,0.7603239412,0.7637838493,0.8499660172
41,0.762113846,0.7641417732,0.8499658034
42,0.7618753963,0.7617542122,0.8504431304
43,0.7612782389,0.7609182489,0.8512790225
44,0.7605623909,0.7600829267,0.851995013
45,0.7613979268,0.7600829979,0.8511594771
46,0.7630693549,0.7617537135,0.8500849927
47,0.7608006982,0.7621119937,0.849607737
48,0.7623524383,0.7616340256,0.848772486
49,0.7603232287,0.7604398532,0.8475785274
50,0.7602037545,0.7610362982,0.8485333238
51,0.7602038257,0.7616333131,0.8473398639
52,0.7605616785,0.7613945072,0.8481754711
53,0.7611589784,0.7599623838,0.8484138496
54,0.7606817227,0.7599622413,0.8482944466
55,0.7613980693,0.7587687101,0.8480557119
56,0.761636804,0.7578141275,0.8482945179
57,0.7600845652,0.7579333167,0.8480557831
58,0.7590105083,0.75721697,0.8493687885
59,0.7582938767,0.7579329605,0.8519947993
60,0.7563839989,0.7557844192,0.8496078082
61,0.7593672924,0.7566197414,0.8479367364
62,0.7593675774,0.7567390731,0.8492495993
63,0.7591288427,0.7569778791,0.8485335376
64,0.758531899,0.7573361593,0.8463854237
65,0.7591289851,0.7572168988,0.8465041855
66,0.7575776013,0.7555459694,0.846265522
67,0.7578159798,0.755307306,0.8473398639
68,0.7579353828,0.7549493107,0.846862252
69,0.7580545008,0.7562623161,0.8475782424
70,0.758054857,0.7557849891,0.8465042568
71,0.7575773163,0.7567395718,0.8467427065
72,0.7572191786,0.7567395718,0.8467427778
73,0.7582935205,0.75721697,0.8463847825
74,0.7579353115,0.7565004809,0.8469815125
75,0.7568610409,0.7563812204,0.8469814412
76,0.7570999893,0.7567392869,0.8466235885
77,0.7569806576,0.7565008371,0.8450719909
78,0.7566226623,0.7567395006,0.8448332562
79,0.7570999181,0.7565009083,0.8447139244
80,0.75602522,0.7561427706,0.8438787447
81,0.7567414241,0.7562621024,0.8444752609
82,0.7561446229,0.7559041071,0.8449527304
83,0.7568610409,0.7562621024,0.8442366687
84,0.7569805151,0.7560236526,0.8448333274
85,0.7569805151,0.7565009796,0.8448333274
86,0.7570997756,0.7559040359,0.8442366687
87,0.7569803014,0.7556654437,0.8447139957
88,0.7573385816,0.7561429131,0.8448334699
89,0.7570997756,0.7554267089,0.8444752609
90,0.7570997043,0.7556654437,0.8448333274
